example_id,thread_id,customer_message,my_intent_label,escalate_or_auto,acceptable_reply_note,disagree_with_reply_note,spotify_reply,provisional_intent_guess,full_thread_reference
E044,15406,@117153  I paid for premium through my mobile banking app yet it still hasn't activated in the Spotify app,Subscription & Billing Issues,escalate,"The customer paid for Premium but the subscription hasn't activated, so the payment and account need to be checked.",,"@600191 Hi Andhika, help's here! Could you DM us your email address and username? We'll take a closer look /JQ https://t.co/ldFdZRiNAt",Subscription & Billing Issues,"[Tue Nov 07 04:30:58 +0000 2017] [Customer @600191]: @117153  I paid for premium through my mobile banking app yet it still hasn't activated in the Spotify app 
[Tue Nov 07 04:48:50 +0000 2017] [Spotify Support @SpotifyCares]: @600191 Hi Andhika, help's here! Could you DM us your email address and username? We'll take a closer look /JQ https://t.co/ldFdZRiNAt"
E045,13193,"@SpotifyCares my email account suddenly got unregistered on my spotify and i cant use the premium service anymore while the invoice remains on my bill. Any solution? Need this to be solved asap.

@SpotifyCares Done. Kindly check your DM",Subscription & Billing Issues,escalate,"The account email issue is affecting Premium access while billing continues, so support needs to investigate.",,@450411 Hey! Can you fire over your account's email address or username via DM? We'll take a look backstage /RC https://t.co/ldFdZRiNAt,Subscription & Billing Issues,"[Thu Nov 02 08:29:11 +0000 2017] [Customer @450411]: @SpotifyCares my email account suddenly got unregistered on my spotify and i cant use the premium service anymore while the invoice remains on my bill. Any solution? Need this to be solved asap. 
[Thu Nov 02 08:49:59 +0000 2017] [Spotify Support @SpotifyCares]: @450411 Hey! Can you fire over your account's email address or username via DM? We'll take a look backstage /RC https://t.co/ldFdZRiNAt 
[Thu Nov 02 09:16:12 +0000 2017] [Customer @450411]: @SpotifyCares Done. Kindly check your DM"
E046,7424,@117153 Spotify has logged me out and I keep getting a dns error... what to do? https://t.co/fcqiHwcs87,Playback & Technical Errors,auto,Troubleshoot the DNS/connectivity issue and check whether it affects other devices.,,"@558304 Hey Emily, help's here! Could you let us know which other devices this is happening to besides your mobile device? Keep us posted 🙂 /CG",Other / Unclear,"[Thu Oct 19 20:26:24 +0000 2017] [Customer @558304]: @117153 Spotify has logged me out and I keep getting a dns error... what to do? https://t.co/fcqiHwcs87 
[Thu Oct 19 21:51:22 +0000 2017] [Spotify Support @SpotifyCares]: @558304 Hey Emily, help's here! Could you let us know which other devices this is happening to besides your mobile device? Keep us posted 🙂 /CG"
E047,4381,@SpotifyCares can't login now because I set the app to offline mode before the update... Hitting connect won't do anything 😱 https://t.co/fPMcnCsMx4,Account Access & Security,escalate,"The customer cannot reconnect or log in, so account-level assistance is appropriate.",,"@541760 Hey, that's not cool! Can you DM us your account's username or email address? We'll see what we can do to help /JM https://t.co/ldFdZRiNAt",Account Access & Security,"[Fri Oct 13 12:44:27 +0000 2017] [Customer @541760]: @SpotifyCares can't login now because I set the app to offline mode before the update... Hitting connect won't do anything 😱 https://t.co/fPMcnCsMx4 
[Fri Oct 13 14:40:32 +0000 2017] [Spotify Support @SpotifyCares]: @541760 Hey, that's not cool! Can you DM us your account's username or email address? We'll see what we can do to help /JM https://t.co/ldFdZRiNAt"
E048,12839,"@SpotifyCares is this a genuine email of yours, I think I have been hacked as I can't log in https://t.co/yyuAjvMoE9",Account Access & Security,escalate,"The customer suspects hacking and cannot log in, so account security needs human support.",,"@584757 Hey James! We'd recommend deleting your first tweet, as it contains private information. Also, could you DM us your account's username? /MQ https://t.co/ldFdZRiNAt",Account Access & Security,"[Wed Nov 01 14:13:31 +0000 2017] [Customer @584757]: @SpotifyCares is this a genuine email of yours, I think I have been hacked as I can't log in https://t.co/yyuAjvMoE9 
[Wed Nov 01 15:11:48 +0000 2017] [Spotify Support @SpotifyCares]: @584757 Hey James! We'd recommend deleting your first tweet, as it contains private information. Also, could you DM us your account's username? /MQ https://t.co/ldFdZRiNAt"
E049,4111,@SpotifyCares I am on student plan but just got charged the regular fee. What's up?,Subscription & Billing Issues,escalate,"The customer received the wrong student-plan charge, so billing details need verification.",,"@538248 Hey Seth, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MQ https://t.co/ldFdZRiNAt",Subscription & Billing Issues,"[Thu Oct 12 23:39:01 +0000 2017] [Customer @538248]: @SpotifyCares I am on student plan but just got charged the regular fee. What's up? 
[Thu Oct 12 23:50:57 +0000 2017] [Spotify Support @SpotifyCares]: @538248 Hey Seth, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MQ https://t.co/ldFdZRiNAt"
E050,14946,@SpotifyCares YO. Update the App for iPhone X cause I might change to Apple Music.......,Feature Requests & Device Support,auto,Acknowledge the iPhone X update request and share available information.,,"@510008 Hey Jordy! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /MQ",Feature Requests & Device Support,"[Mon Nov 06 13:43:58 +0000 2017] [Customer @510008]: @SpotifyCares YO. Update the App for iPhone X cause I might change to Apple Music....... 
[Mon Nov 06 14:35:24 +0000 2017] [Spotify Support @SpotifyCares]: @510008 Hey Jordy! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /MQ"
E051,24654,Hello @SpotifyCares I would like to set up an premium account with my Kuwait bank account/PayPal. Please help! 🙏🏼,Subscription & Billing Issues,auto,Explain whether Kuwait bank accounts or PayPal can be used for Premium.,,@786594 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA https://t.co/ldFdZRiNAt,Subscription & Billing Issues,"[Mon Nov 27 08:05:04 +0000 2017] [Customer @786594]: Hello @SpotifyCares I would like to set up an premium account with my Kuwait bank account/PayPal. Please help! 🙏🏼 
[Mon Nov 27 08:07:29 +0000 2017] [Spotify Support @SpotifyCares]: @786594 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA https://t.co/ldFdZRiNAt"
E052,15722,@SpotifyCares need help updating payment details. tried on phone and on computer. just spins and never goes through. advice?,Subscription & Billing Issues,escalate,"Payment details fail on both phone and computer, so this needs account/payment investigation.",,@670260 Hi Janna! Can you DM us your username or email address? We'll see what we can suggest /NH https://t.co/ldFdZRiNAt,Subscription & Billing Issues,"[Tue Nov 07 19:40:49 +0000 2017] [Customer @670260]: @SpotifyCares need help updating payment details. tried on phone and on computer. just spins and never goes through. advice? 
[Tue Nov 07 20:49:46 +0000 2017] [Spotify Support @SpotifyCares]: @670260 Hi Janna! Can you DM us your username or email address? We'll see what we can suggest /NH https://t.co/ldFdZRiNAt"
E053,1918,"@115888 I need your help. Where is your guy's live chat???

@SpotifyCares I just inboxed you guys on twitter

@SpotifyCares got it!",Other / Unclear,auto,Explain where live chat is available and confirm that Twitter support is also available.,,"@198687 Hi! You can get in touch with our Chat team at https://t.co/manM05TIUL. We can also help through Twitter. We'll be right here for you /MT

@198687 Got it! We've just sent a DM your way. Let's carry on chatting there /MT",Content Availability & Licensing,"[Sun Oct 08 04:46:41 +0000 2017] [Customer @198687]: @115888 I need your help. Where is your guy's live chat??? 
[Sun Oct 08 04:52:57 +0000 2017] [Spotify Support @SpotifyCares]: @198687 Hi! You can get in touch with our Chat team at https://t.co/manM05TIUL. We can also help through Twitter. We'll be right here for you /MT 
[Sun Oct 08 04:55:22 +0000 2017] [Customer @198687]: @SpotifyCares I just inboxed you guys on twitter 
[Sun Oct 08 04:58:16 +0000 2017] [Spotify Support @SpotifyCares]: @198687 Got it! We've just sent a DM your way. Let's carry on chatting there /MT 
[Sun Oct 08 05:02:56 +0000 2017] [Customer @198687]: @SpotifyCares got it!"
E054,1866,".@115888 needs a “You’ve skipped over this song literally every time it’s come on shuffle, would you like to remove it from your library” feature",Feature Requests & Device Support,auto,Acknowledge the requested smart-remove-from-library feature and pass the feedback along.,,"@197361 Hey Matt! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /RA",Feature Requests & Device Support,"[Sun Oct 08 00:24:23 +0000 2017] [Customer @197361]: .@115888 needs a “You’ve skipped over this song literally every time it’s come on shuffle, would you like to remove it from your library” feature 
[Sun Oct 08 00:31:26 +0000 2017] [Spotify Support @SpotifyCares]: @197361 Hey Matt! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /RA"
E055,25105,I've had 2 payments come out this month for @115888... help @115888,Subscription & Billing Issues,escalate,"The customer reports duplicate payments, so billing records need to be checked.",,"@124189 Hey Kerry, help's here. Can you send us a DM with your account's email address or username? We'll take a look backstage /AY https://t.co/ldFdZRiNAt",Subscription & Billing Issues,"[Tue Nov 28 07:17:18 +0000 2017] [Customer @124189]: I've had 2 payments come out this month for @115888... help @115888 
[Tue Nov 28 08:54:16 +0000 2017] [Spotify Support @SpotifyCares]: @124189 Hey Kerry, help's here. Can you send us a DM with your account's email address or username? We'll take a look backstage /AY https://t.co/ldFdZRiNAt"
E056,15416,@115888 still waiting for the iphone x update!!!,Feature Requests & Device Support,auto,Acknowledge the iPhone X update request and share any available development information.,,"@471808 Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ",Feature Requests & Device Support,"[Tue Nov 07 05:06:02 +0000 2017] [Customer @471808]: @115888 still waiting for the iphone x update!!! 
[Tue Nov 07 05:43:46 +0000 2017] [Spotify Support @SpotifyCares]: @471808 Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ"
E057,5643,"@115888 so your app just decides to stop playing music... great! #refund

@SpotifyCares 8.4.23.784 version Spotify
Samsung Galaxy S6
Android v7.0

@SpotifyCares Uninstalled it.. reinstalled.

All working now.. thanks!",Playback & Technical Errors,auto,Provide standard troubleshooting for playback stopping and acknowledge that reinstalling fixed the problem.,,"@437800 Hey, that doesn't sound fun! Can you let us know more about what's happening? What device, OS, and Spotify version are you using? /MA

@437800 Thanks. Can you try logging out and back in again? You can also try restarting your phone to see if it helps /MA

@437800 Awesome! Give us a shout if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv 😁 /MA",Subscription & Billing Issues,"[Mon Oct 16 13:30:01 +0000 2017] [Customer @437800]: @115888 so your app just decides to stop playing music... great! #refund 
[Mon Oct 16 14:29:56 +0000 2017] [Spotify Support @SpotifyCares]: @437800 Hey, that doesn't sound fun! Can you let us know more about what's happening? What device, OS, and Spotify version are you using? /MA 
[Mon Oct 16 14:41:36 +0000 2017] [Customer @437800]: @SpotifyCares 8.4.23.784 version Spotify Samsung Galaxy S6 Android v7.0 
[Mon Oct 16 14:47:00 +0000 2017] [Spotify Support @SpotifyCares]: @437800 Thanks. Can you try logging out and back in again? You can also try restarting your phone to see if it helps /MA 
[Mon Oct 16 15:01:53 +0000 2017] [Customer @437800]: @SpotifyCares Uninstalled it.. reinstalled.  All working now.. thanks! 
[Mon Oct 16 15:03:30 +0000 2017] [Spotify Support @SpotifyCares]: @437800 Awesome! Give us a shout if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv 😁 /MA"
E058,11928,@SpotifyCares Good morning to you guys! For some reason my payment for premium wont go thru. Still my card is working normal.,Subscription & Billing Issues,escalate,"The Premium payment isn't going through despite the card working normally, so billing needs checking.",,@715944 Hey! Can you DM us your account's username and email address? We'll take a look backstage /JL https://t.co/ldFdZRiNAt,Subscription & Billing Issues,"[Mon Oct 30 06:02:45 +0000 2017] [Customer @715944]: @SpotifyCares Good morning to you guys! For some reason my payment for premium wont go thru. Still my card is working normal. 
[Mon Oct 30 06:03:42 +0000 2017] [Spotify Support @SpotifyCares]: @715944 Hey! Can you DM us your account's username and email address? We'll take a look backstage /JL https://t.co/ldFdZRiNAt"
E059,24374,@SpotifyCares hi. Can i pay with paypal balance?,Subscription & Billing Issues,auto,Explain whether PayPal balance can be used and provide payment-method guidance.,,"@785034 Hey, apologies for the delay! We've just sent you a bit more info over DM. We'll carry on helping out there /NQ",Subscription & Billing Issues,"[Sun Nov 26 16:29:12 +0000 2017] [Customer @785034]: @SpotifyCares hi. Can i pay with paypal balance? 
[Mon Nov 27 03:08:22 +0000 2017] [Spotify Support @SpotifyCares]: @785034 Hey, apologies for the delay! We've just sent you a bit more info over DM. We'll carry on helping out there /NQ"
E060,5807,@SpotifyCares y'all should make an optuon to listen on seperate devices online with same account. Both of us wanna listen and download music,Feature Requests & Device Support,auto,Acknowledge the request to use one account on multiple devices simultaneously and explain the current limitation.,,"@465646 Hey, we don't have any info on this right now, but we'll let the right team know it's something you'd like to see /RB",Playback & Technical Errors,"[Mon Oct 16 18:50:17 +0000 2017] [Customer @465646]: @SpotifyCares y'all should make an optuon to listen on seperate devices online with same account. Both of us wanna listen and download music 
[Mon Oct 16 21:56:25 +0000 2017] [Spotify Support @SpotifyCares]: @465646 Hey, we don't have any info on this right now, but we'll let the right team know it's something you'd like to see /RB"
E061,7472,"@SpotifyCares can’t skip song whilst connected to Bluetooth in my car, many others having the same problem. Any suggestions?

@SpotifyCares iPhone 7, iOS 11.0.3 and Spotify version 8.4.22 thank you :)",Playback & Technical Errors,auto,Provide troubleshooting for Bluetooth/car playback controls.,,"@558437 Hey Luke! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RH

@558437 Thanks. Could you try logging out &gt; restarting your phone &gt; logging back in? Let us know if that makes a difference /RH",Feature Requests & Device Support,"[Thu Oct 19 21:53:23 +0000 2017] [Customer @558437]: @SpotifyCares can’t skip song whilst connected to Bluetooth in my car, many others having the same problem. Any suggestions? 
[Thu Oct 19 22:28:41 +0000 2017] [Spotify Support @SpotifyCares]: @558437 Hey Luke! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RH 
[Thu Oct 19 22:32:51 +0000 2017] [Customer @558437]: @SpotifyCares iPhone 7, iOS 11.0.3 and Spotify version 8.4.22 thank you :) 
[Thu Oct 19 22:43:15 +0000 2017] [Spotify Support @SpotifyCares]: @558437 Thanks. Could you try logging out &gt; restarting your phone &gt; logging back in? Let us know if that makes a difference /RH"
E062,22163,"@SpotifyCares HELP!  I have an account that is on an old email add, and I don't remember my password.  I can't update without it, and contacting Spotify by email requires it as well.",Account Access & Security,escalate,"The old email and forgotten password prevent account access, so recovery assistance is needed.",,"@776656 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",Feature Requests & Device Support,"[Tue Nov 21 15:58:25 +0000 2017] [Customer @776656]: @SpotifyCares HELP!  I have an account that is on an old email add, and I don't remember my password.  I can't update without it, and contacting Spotify by email requires it as well. 
[Tue Nov 21 16:43:26 +0000 2017] [Spotify Support @SpotifyCares]: @776656 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt"
E063,4849,@SpotifyCares I have a charge on my account for Spotify Premium but my Spotify account still says it’s Free. What should I do?,Subscription & Billing Issues,escalate,"The customer was charged for Premium but the account still shows Free, requiring account and payment verification.",,"@543423 Hey Emily, help's here! Could you send us a DM with your account's username or email address? We'll take a look backstage 🔍 /DB https://t.co/ldFdZRiNAt",Subscription & Billing Issues,"[Sat Oct 14 11:13:55 +0000 2017] [Customer @543423]: @SpotifyCares I have a charge on my account for Spotify Premium but my Spotify account still says it’s Free. What should I do? 
[Sat Oct 14 16:06:07 +0000 2017] [Spotify Support @SpotifyCares]: @543423 Hey Emily, help's here! Could you send us a DM with your account's username or email address? We'll take a look backstage 🔍 /DB https://t.co/ldFdZRiNAt"
E064,14656,"@115888 are your design and dev teams working on an #iPhoneX update? Would really love to see that edge to edge #Spotify app :)

@SpotifyCares Care teams don’t get the love they deserve. Thanks for your response and action.",Feature Requests & Device Support,auto,Acknowledge the iPhone X optimization request and provide available update information.,,"@501359 Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ

@501359 You're welcome. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ 🙂 /NQ",Feature Requests & Device Support,"[Sun Nov 05 19:28:30 +0000 2017] [Customer @501359]: @115888 are your design and dev teams working on an #iPhoneX update? Would really love to see that edge to edge #Spotify app :) 
[Sun Nov 05 23:16:44 +0000 2017] [Spotify Support @SpotifyCares]: @501359 Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ 
[Sun Nov 05 23:17:30 +0000 2017] [Customer @501359]: @SpotifyCares Care teams don’t get the love they deserve. Thanks for your response and action. 
[Mon Nov 06 00:07:03 +0000 2017] [Spotify Support @SpotifyCares]: @501359 You're welcome. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ 🙂 /NQ"
E065,4084,Why is X’s music getting removed from @115888??,Content Availability & Licensing,auto,Explain that content can be removed temporarily because of licensing changes.,,@538080 Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /TR,Content Availability & Licensing,"[Thu Oct 12 22:30:12 +0000 2017] [Customer @538080]: Why is X’s music getting removed from @115888?? 
[Thu Oct 12 22:50:22 +0000 2017] [Spotify Support @SpotifyCares]: @538080 Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /TR"
E066,13894,"@SpotifyCares I found an album on the web player (that won't play), but I can't find that album on the app. Help?

@SpotifyCares https://t.co/1grwJT22Yz",Content Availability & Licensing,auto,Explain whether the album is unavailable because of licensing or platform availability differences.,The historical response handled it reasonably by identifying the album and explaining the likely licensing issue.,"@475500 Hi Joel! Can you tell us which album that is? On the web player, click on the three dots &gt; Copy Album Link /NH

@475500 Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /DF",Playback & Technical Errors,"[Fri Nov 03 18:10:14 +0000 2017] [Customer @475500]: @SpotifyCares I found an album on the web player (that won't play), but I can't find that album on the app. Help? 
[Fri Nov 03 23:19:18 +0000 2017] [Spotify Support @SpotifyCares]: @475500 Hi Joel! Can you tell us which album that is? On the web player, click on the three dots &gt; Copy Album Link /NH 
[Fri Nov 03 23:26:45 +0000 2017] [Customer @475500]: @SpotifyCares https://t.co/1grwJT22Yz 
[Sat Nov 04 00:25:50 +0000 2017] [Spotify Support @SpotifyCares]: @475500 Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /DF"
E067,5686,"@SpotifyCares my web player isn’t working 🆘

@SpotifyCares I figured it out!",Playback & Technical Errors,auto,Provide basic web-player troubleshooting and acknowledge the customer's confirmation that it is fixed.,,"@443695 Hey there, we're here to help! Are you receiving an error of any kind in your browser? Let us know /RV

@443695 Awesome, that's what we like to hear! If you need us again, just... https://t.co/AUc7DGJpgF /RV",Playback & Technical Errors,"[Mon Oct 16 14:51:14 +0000 2017] [Customer @443695]: @SpotifyCares my web player isn’t working 🆘 
[Mon Oct 16 16:10:11 +0000 2017] [Spotify Support @SpotifyCares]: @443695 Hey there, we're here to help! Are you receiving an error of any kind in your browser? Let us know /RV 
[Mon Oct 16 16:14:01 +0000 2017] [Customer @443695]: @SpotifyCares I figured it out! 
[Mon Oct 16 16:16:31 +0000 2017] [Spotify Support @SpotifyCares]: @443695 Awesome, that's what we like to hear! If you need us again, just... https://t.co/AUc7DGJpgF /RV"
E068,16958,@SpotifyCares @117168 why is reputation not here??!!😭😭 https://t.co/sYrsunnLex,Content Availability & Licensing,auto,Explain why Reputation isn't currently available and provide relevant content information.,,"@450262 Hi! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /DR",Content Availability & Licensing,"[Fri Nov 10 05:18:49 +0000 2017] [Customer @450262]: @SpotifyCares @117168 why is reputation not here??!!😭😭 https://t.co/sYrsunnLex 
[Fri Nov 10 06:16:59 +0000 2017] [Spotify Support @SpotifyCares]: @450262 Hi! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /DR"
E069,13645,"Why isn't @289430 ""Don't Miss You"" on Spotify?!?! I'm very upset about this @115888",Content Availability & Licensing,auto,Explain the current availability of the requested song and provide any relevant content information.,,"@589599 Hey there! We’d love to have all of her stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /GK",Content Availability & Licensing,"[Fri Nov 03 07:30:29 +0000 2017] [Customer @589599]: Why isn't @289430 ""Don't Miss You"" on Spotify?!?! I'm very upset about this @115888 
[Fri Nov 03 08:26:08 +0000 2017] [Spotify Support @SpotifyCares]: @589599 Hey there! We’d love to have all of her stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /GK"
E070,27114,"Thanks @115888 for deleting my fucking offline library for the 6th time. It never ceases to be any less fun redownloading all my albums that i want on my phone!!!!!

@SpotifyCares Thank you",Playback & Technical Errors,escalate,"The customer's offline library has repeatedly disappeared, so the recurring technical problem needs deeper investigation.",The historical reply asked the customer to DM account details but didn't acknowledge that this had already happened repeatedly.,"@231393 Hey, that's not cool. Could you DM us your account's email address and username? We'll take a look backstage /JZ https://t.co/ldFdZRiNAt",Playlist & Library Management,"[Fri Dec 01 14:31:42 +0000 2017] [Customer @231393]: Thanks @115888 for deleting my fucking offline library for the 6th time. It never ceases to be any less fun redownloading all my albums that i want on my phone!!!!! 
[Fri Dec 01 16:22:59 +0000 2017] [Spotify Support @SpotifyCares]: @231393 Hey, that's not cool. Could you DM us your account's email address and username? We'll take a look backstage /JZ https://t.co/ldFdZRiNAt 
[Fri Dec 01 16:24:09 +0000 2017] [Customer @231393]: @SpotifyCares Thank you"
E071,14492,"@115888 explain why an app I pay $9.99 monthly for can’t be bothered to update their app, you’ve had over a month to do it this shit. https://t.co/yw9ubCqrqK",Feature Requests & Device Support,auto,Acknowledge the app-update complaint and explain the current update status.,The response was very generic and didn't really address why the requested update had not happened.,@405689 Hey Joe! Can you let us know what's happening exactly? We'll see what we can suggest /PL,Other / Unclear,"[Sun Nov 05 08:30:20 +0000 2017] [Customer @405689]: @115888 explain why an app I pay $9.99 monthly for can’t be bothered to update their app, you’ve had over a month to do it this shit. https://t.co/yw9ubCqrqK 
[Sun Nov 05 09:19:18 +0000 2017] [Spotify Support @SpotifyCares]: @405689 Hey Joe! Can you let us know what's happening exactly? We'll see what we can suggest /PL"
E072,5204,@SpotifyCares @116130 my account has been hacked and email changed.  Please contact to sort asap,Account Access & Security,escalate,"The account was hacked and the email changed, so secure account recovery is required.",,"@385697 Hey! In this case, we suggest you follow the steps at https://t.co/QHn3ok8y2n. We hope that helps /CB",Account Access & Security,"[Sun Oct 15 09:57:54 +0000 2017] [Customer @385697]: @SpotifyCares @116130 my account has been hacked and email changed.  Please contact to sort asap 
[Sun Oct 15 14:23:34 +0000 2017] [Spotify Support @SpotifyCares]: @385697 Hey! In this case, we suggest you follow the steps at https://t.co/QHn3ok8y2n. We hope that helps /CB"
E073,10752,"@SpotifyCares I downloaded Spotify for Mac but it’s so slow. Are there updates or should I continue to use the web since it’s quicker?

@SpotifyCares Im running High Sierra 10.13. I’m not too sure about Spotify version but it’s the Spotify Free

@SpotifyCares And the long # when I click on About Spotify is 1.0.66.478.g1296534d",Playback & Technical Errors,auto,Troubleshoot the slow Mac app and provide relevant performance/update guidance.,,"@423224 Hey Stacey! Can you let us know the OS X and Spotify versions you're using? We'll see what we can suggest /FR

@423224 Thanks for sending the info. Does logging out, restarting your device, and logging back in make any difference? /FR",Playback & Technical Errors,"[Thu Oct 26 22:23:44 +0000 2017] [Customer @423224]: @SpotifyCares I downloaded Spotify for Mac but it’s so slow. Are there updates or should I continue to use the web since it’s quicker? 
[Thu Oct 26 22:26:56 +0000 2017] [Spotify Support @SpotifyCares]: @423224 Hey Stacey! Can you let us know the OS X and Spotify versions you're using? We'll see what we can suggest /FR 
[Thu Oct 26 22:44:09 +0000 2017] [Customer @423224]: @SpotifyCares Im running High Sierra 10.13. I’m not too sure about Spotify version but it’s the Spotify Free 
[Thu Oct 26 22:44:33 +0000 2017] [Customer @423224]: @SpotifyCares And the long # when I click on About Spotify is 1.0.66.478.g1296534d 
[Thu Oct 26 22:47:32 +0000 2017] [Spotify Support @SpotifyCares]: @423224 Thanks for sending the info. Does logging out, restarting your device, and logging back in make any difference? /FR"
E074,9416,"@117153 the payment for my signature was discounted on my credit card but my signature is not on yet bc they are analysing my college documents,  how can I proceed?",Subscription & Billing Issues,escalate,The payment and student verification status need account-level checking.,,@566789 Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO https://t.co/ldFdZRiNAt,Subscription & Billing Issues,"[Tue Oct 24 02:53:47 +0000 2017] [Customer @566789]: @117153 the payment for my signature was discounted on my credit card but my signature is not on yet bc they are analysing my college documents,  how can I proceed? 
[Tue Oct 24 03:59:31 +0000 2017] [Spotify Support @SpotifyCares]: @566789 Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO https://t.co/ldFdZRiNAt"
E075,19432,@SpotifyCares @115888 https://t.co/TrCVRQODm1 wrong artist link. Should be https://t.co/AXeM5XL1a7,Content Availability & Licensing,auto,Acknowledge the incorrect artist link and confirm that the metadata issue has been reported.,,"@220664 Hey, thanks. We've already reported this. Great detective work! https://t.co/LpsmyUtme0 /PL",Content Availability & Licensing,"[Wed Nov 15 10:43:08 +0000 2017] [Customer @220664]: @SpotifyCares @115888 https://t.co/TrCVRQODm1 wrong artist link. Should be https://t.co/AXeM5XL1a7 
[Wed Nov 15 12:01:33 +0000 2017] [Spotify Support @SpotifyCares]: @220664 Hey, thanks. We've already reported this. Great detective work! https://t.co/LpsmyUtme0 /PL"
E076,9773,"So when's @115888 gonna let us sort albums by length and release date, I wanna access EPs/new releases quickly

@SpotifyCares While I appreciate you getting back to me so quickly, your suggestions weren't really that helpful. I already use Release Radar and [1/2]

@SpotifyCares While I love release radar, I just want to be able to sort through the albums I've -already saved- by album length and release date. [2/2]

@SpotifyCares Maybe a nice option for premium users would be to manually organize your albums into a sort of meta playlist, I think this would be [3/2]

@SpotifyCares Really useful if I want to search through my albums by genre as well

@SpotifyCares Thank you, I'll do just that.",Feature Requests & Device Support,auto,Explain whether saved albums can currently be sorted by length/date and provide the feature-request option.,The initial suggestion about Release Radar didn't address the customer's actual request to sort albums they had already saved.,"@398465 Hey! There's info on sorting and filtering here: https://t.co/5hjtm5AdqM. Checking out Fresh Finds and Release Radar should also help 🙂 /AR

@398465 We're afraid this isn't currently possible. To help make it happen, add your vote for a similar idea at https://t.co/e4LI1pbSdX /AR

@398465 You're welcome! If you ever need us with anything else, just give us a... https://t.co/AUc7DGJpgF 🙂 /AR",Feature Requests & Device Support,"[Tue Oct 24 22:21:38 +0000 2017] [Customer @398465]: So when's @115888 gonna let us sort albums by length and release date, I wanna access EPs/new releases quickly 
[Tue Oct 24 22:29:58 +0000 2017] [Spotify Support @SpotifyCares]: @398465 Hey! There's info on sorting and filtering here: https://t.co/5hjtm5AdqM. Checking out Fresh Finds and Release Radar should also help 🙂 /AR 
[Tue Oct 24 22:33:34 +0000 2017] [Customer @398465]: @SpotifyCares While I appreciate you getting back to me so quickly, your suggestions weren't really that helpful. I already use Release Radar and [1/2] 
[Tue Oct 24 22:35:17 +0000 2017] [Customer @398465]: @SpotifyCares While I love release radar, I just want to be able to sort through the albums I've -already saved- by album length and release date. [2/2] 
[Tue Oct 24 22:38:16 +0000 2017] [Customer @398465]: @SpotifyCares Maybe a nice option for premium users would be to manually organize your albums into a sort of meta playlist, I think this would be [3/2] 
[Tue Oct 24 22:39:57 +0000 2017] [Customer @398465]: @SpotifyCares Really useful if I want to search through my albums by genre as well 
[Tue Oct 24 22:46:39 +0000 2017] [Spotify Support @SpotifyCares]: @398465 We're afraid this isn't currently possible. To help make it happen, add your vote for a similar idea at https://t.co/e4LI1pbSdX /AR 
[Tue Oct 24 22:55:03 +0000 2017] [Customer @398465]: @SpotifyCares Thank you, I'll do just that. 
[Tue Oct 24 22:57:02 +0000 2017] [Spotify Support @SpotifyCares]: @398465 You're welcome! If you ever need us with anything else, just give us a... https://t.co/AUc7DGJpgF 🙂 /AR"
